GID,GY,PH
B108 x R11,1831.154809,180.3408793
B108 x R110,2365.744454,186.727451
B108 x R115,2019.043293,194.3098813
B108 x R151,2072.901926,191.3626996
B108 x R157,2563.002906,193.0159375
B108 x R167,2197.155058,198.941303
B108 x R171,2370.166701,200.0707146
B108 x R177,1576.559175,191.6524345
B108 x R183,2101.317179,189.2347613
B108 x R2,2900.113369,193.1496619
B108 x R21,1839.413352,142.13423
B108 x R3,1929.309008,147.5219387
B108 x R69,2173.026213,201.6275762
B108 x R70,2355.386833,180.1021293
B108 x R75,1393.695271,162.638467
B108 x R80,2260.510061,193.4581082
B108 x R9,2171.634876,186.3661884
B110 x R11,2813.960551,183.3613339
B110 x R115,2256.094422,208.2301056
B110 x R151,1904.245794,202.596067
B110 x R157,2443.252768,210.5485335
B110 x R167,3303.949871,193.1712828
B110 x R171,3012.944795,207.6945693
B110 x R177,1769.312656,181.0161089
B110 x R2,2417.389562,198.882708
B110 x R21,1781.899755,173.7630985
B110 x R22,2296.286108,187.3465425
B110 x R3,1519.636829,149.193776
B110 x R69,2409.525377,186.5589691
B110 x R70,1758.275526,170.4926942
B110 x R80,2693.564428,215.6769744
B110 x R83,2585.367013,204.2408752
B110 x R9,2260.695945,199.4706073
B130 x R11,2199.813182,180.1107572
B130 x R110,1936.613789,184.1464865
B130 x R115,1939.294292,191.1755637
B130 x R151,1802.126725,178.2000787
B130 x R157,2470.828781,193.1294657
B130 x R167,2235.882352,194.8205748
B130 x R177,2057.979624,199.3160197
B130 x R183,1906.919519,185.1247766
B130 x R187,1916.456611,187.2015844
B130 x R2,2125.831722,186.8344449
B130 x R21,2387.68293,162.9131729
B130 x R22,2353.135142,197.0638696
B130 x R3,1896.038292,169.0737985
B130 x R69,2036.481217,192.6205028
B130 x R70,1873.297809,188.2332895
B130 x R75,2252.912094,175.7422156
B130 x R80,1783.904899,186.2563177
B130 x R83,2224.278177,192.0279256
B130 x R9,1846.011332,184.9602088
B159 x R11,2195.538951,173.909686
B159 x R110,2082.838807,167.8116728
B159 x R115,2653.684061,195.1117254
B159 x R151,1753.628674,181.4927815
B159 x R157,1778.132563,187.2068141
B159 x R167,2250.154376,205.7659408
B159 x R171,2206.783872,192.7546779
B159 x R177,2780.312918,177.2373839
B159 x R183,2185.085046,178.8366082
B159 x R187,1701.818152,203.9223307
B159 x R2,1879.65528,194.8176335
B159 x R21,1808.537384,182.6741241
B159 x R22,2955.095915,189.3203252
B159 x R3,2638.860631,180.4613771
B159 x R69,1971.686491,170.9601749
B159 x R70,2495.502816,186.4076347
B159 x R75,2508.061205,190.6459745
B159 x R80,1856.51693,193.4427694
B159 x R83,3935.634568,191.6244461
B159 x R9,2101.367227,183.0748837
B169 x R11,2078.305112,170.4030146
B169 x R110,2162.073281,188.5141374
B169 x R115,2404.79943,182.0992618
B169 x R151,1894.076776,171.4962707
B169 x R157,1871.434059,184.0684258
B169 x R171,2653.342393,182.5896815
B169 x R177,2264.749066,178.5602454
B169 x R183,2078.048308,171.9250152
B169 x R187,2178.699435,183.3750405
B169 x R2,2311.377294,188.8207971
B169 x R21,2263.449169,185.397685
B169 x R3,2188.930632,180.0625384
B169 x R69,2071.803125,190.6350075
B169 x R70,2007.170745,193.2902602
B169 x R83,2163.312172,188.9488715
B169 x R9,2414.438948,185.2750334
B191 x R110,2167.064337,188.3983437
B191 x R115,2604.44114,171.3452323
B191 x R151,2139.564802,188.5757766
B191 x R167,2663.898342,197.1888456
B191 x R171,2206.569091,197.8556984
B191 x R183,1821.111016,190.5508759
B191 x R2,1219.246761,183.5250995
B191 x R21,1350.539978,169.3018148
B191 x R22,3353.482723,183.6057918
B191 x R3,1342.405434,145.8587282
B191 x R69,2760.884128,192.5928441
B191 x R70,2517.562588,199.9143735
B191 x R75,2041.51588,148.8912943
B191 x R80,2770.982298,192.0659615
B191 x R9,2638.143562,187.9552268
B24 x R11,2144.743505,143.8792251
B24 x R110,2142.224872,171.435632
B24 x R115,2019.84058,180.5899769
B24 x R151,2232.571756,157.6683871
B24 x R157,2326.272649,177.9887052
B24 x R167,2671.757342,180.4350705
B24 x R171,3123.355073,198.1362287
B24 x R177,2145.096208,167.827242
B24 x R183,2136.239264,156.009311
B24 x R187,2531.425381,172.2348313
B24 x R2,1953.634945,185.4486371
B24 x R21,1529.12451,158.0925454
B24 x R22,2198.103848,185.524583
B24 x R3,2366.665822,153.7052359
B24 x R69,2365.630482,181.9748249
B24 x R70,2334.994125,177.2447934
B24 x R80,2114.668072,175.1246356
